::1 - - [12/Aug/2021:16:00:01 +0000] "GET /birthday/remind HTTP/1.1" 200 208 "-" "curl/7.29.0"
::ffff:185.222.59.8 - - [12/Aug/2021:18:53:44 +0000] "GET / HTTP/1.1" 404 1022 "-" "-"
::ffff:45.137.20.14 - - [12/Aug/2021:23:08:45 +0000] "GET http://example.com/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:20.150.209.191 - - [13/Aug/2021:00:07:38 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:185.222.59.8 - - [13/Aug/2021:02:49:49 +0000] "GET / HTTP/1.1" 404 1022 "-" "-"
::ffff:3.112.251.9 - - [13/Aug/2021:05:26:38 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:20.150.209.191 - - [13/Aug/2021:06:37:06 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:20.150.209.191 - - [13/Aug/2021:08:17:35 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:20.38.168.90 - - [13/Aug/2021:08:31:14 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:3.112.251.9 - - [13/Aug/2021:08:34:42 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:3.112.251.9 - - [13/Aug/2021:08:56:21 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:3.112.251.9 - - [13/Aug/2021:11:24:16 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:185.222.59.8 - - [13/Aug/2021:15:10:10 +0000] "GET / HTTP/1.1" 404 1022 "-" "-"
::ffff:71.6.146.186 - - [13/Aug/2021:15:25:23 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:71.6.146.186 - - [13/Aug/2021:15:25:24 +0000] "GET /favicon.ico HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:80.0) Gecko/20100101 Firefox/80.0"
::ffff:3.112.251.9 - - [13/Aug/2021:15:41:13 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:209.141.36.159 - - [13/Aug/2021:15:46:54 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
