::1 - - [30/Jun/2021:16:00:01 +0000] "GET /birthday/remind HTTP/1.1" 200 208 "-" "curl/7.29.0"
::ffff:128.14.209.242 - - [30/Jun/2021:19:46:15 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.117 Safari/537.36"
::ffff:143.198.46.186 - - [01/Jul/2021:09:45:41 +0000] "HEAD / HTTP/1.0" 404 1022 "-" "-"
::ffff:143.198.46.186 - - [01/Jul/2021:09:45:47 +0000] "GET /system_api.php HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
::ffff:143.198.46.186 - - [01/Jul/2021:09:45:54 +0000] "GET /c/version.js HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
::ffff:143.198.46.186 - - [01/Jul/2021:09:46:00 +0000] "GET /streaming/clients_live.php HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
::ffff:143.198.46.186 - - [01/Jul/2021:09:46:07 +0000] "GET /stalker_portal/c/version.js HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
::ffff:143.198.46.186 - - [01/Jul/2021:09:46:13 +0000] "GET /stream/live.php HTTP/1.1" 404 1022 "-" "AlexaMediaPlayer/2.1.4676.0 (Linux;Android 5.1.1) ExoPlayerLib/1.5.9"
::ffff:39.99.245.142 - - [01/Jul/2021:10:27:06 +0000] "GET / HTTP/1.0" 404 1022 "-" "-"
::ffff:39.99.245.142 - - [01/Jul/2021:10:27:06 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
