::1 - - [09/Aug/2021:16:00:02 +0000] "GET /birthday/remind HTTP/1.1" 200 208 "-" "curl/7.29.0"
::ffff:39.103.238.226 - - [09/Aug/2021:18:03:16 +0000] "GET / HTTP/1.0" 404 1022 "-" "-"
::ffff:39.103.238.226 - - [09/Aug/2021:18:03:16 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
::ffff:104.40.5.200 - - [09/Aug/2021:18:54:26 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:161.117.251.1 - - [10/Aug/2021:01:04:29 +0000] "GET http://www.baidu.com/ HTTP/1.1" 404 1022 "-" "curl/7.58.0"
::ffff:183.136.225.14 - - [10/Aug/2021:06:59:05 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:47.0) Gecko/20100101 Firefox/47.0"
::ffff:183.136.225.14 - - [10/Aug/2021:07:00:00 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36 QIHU 360SE"
::ffff:183.136.225.14 - - [10/Aug/2021:07:00:00 +0000] "GET /favicon.ico HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36 QIHU 360SE"
::ffff:183.136.225.14 - - [10/Aug/2021:07:00:00 +0000] "GET /robots.txt HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36 QIHU 360SE"
::ffff:92.118.161.1 - - [10/Aug/2021:07:51:42 +0000] "GET / HTTP/1.0" 404 1022 "-" "NetSystemsResearch studies the availability of various services across the internet. Our website is netsystemsresearch.com"
::ffff:185.222.59.8 - - [10/Aug/2021:12:59:13 +0000] "GET / HTTP/1.1" 404 1022 "-" "-"
::ffff:104.140.188.2 - - [10/Aug/2021:14:44:49 +0000] "GET / HTTP/1.1" 404 1022 "-" "https://gdnplus.com:Gather Analyze Provide."
::ffff:18.144.70.67 - - [10/Aug/2021:15:34:43 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
