::1 - - [14/Jul/2021:16:00:01 +0000] "GET /birthday/remind HTTP/1.1" 200 208 "-" "curl/7.29.0"
::ffff:171.37.174.115 - - [14/Jul/2021:19:51:21 +0000] "HEAD http://110.242.68.4/ HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
::ffff:165.232.178.238 - - [14/Jul/2021:22:32:43 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
::ffff:1.85.216.231 - - [14/Jul/2021:22:45:16 +0000] "HEAD http://110.242.68.4/ HTTP/1.1" 404 1022 "-" "Mozilla/4.01707650 Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; EmbeddedWB 14.52 from: http://www.bsalsa.com/ EmbeddedWB 14.52; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)"
::ffff:138.68.158.117 - - [15/Jul/2021:07:04:11 +0000] "HEAD / HTTP/1.0" 404 1022 "-" "-"
::ffff:138.68.158.117 - - [15/Jul/2021:07:04:19 +0000] "GET /system_api.php HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
::ffff:138.68.158.117 - - [15/Jul/2021:07:04:27 +0000] "GET /c/version.js HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
::ffff:138.68.158.117 - - [15/Jul/2021:07:04:35 +0000] "GET /streaming/clients_live.php HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
::ffff:138.68.158.117 - - [15/Jul/2021:07:04:43 +0000] "GET /stalker_portal/c/version.js HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
::ffff:138.68.158.117 - - [15/Jul/2021:07:04:51 +0000] "GET /stream/live.php HTTP/1.1" 404 1022 "-" "VLC/3.0.8 LibVLC/3.0.8"
::ffff:113.58.240.70 - - [15/Jul/2021:07:45:25 +0000] "HEAD http://110.242.68.4/ HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
::ffff:125.64.94.144 - - [15/Jul/2021:08:45:38 +0000] "GET / HTTP/1.0" 404 1022 "-" "-"
::ffff:125.64.94.144 - - [15/Jul/2021:08:45:38 +0000] "GET /favicon.ico HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4 240.111 Safari/537.36"
::ffff:125.64.94.144 - - [15/Jul/2021:08:45:38 +0000] "GET /robots.txt HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4 240.111 Safari/537.36"
::ffff:125.64.94.144 - - [15/Jul/2021:08:45:38 +0000] "GET /.well-known/security.txt HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4 240.111 Safari/537.36"
::ffff:125.64.94.144 - - [15/Jul/2021:12:21:03 +0000] "GET / HTTP/1.0" 404 1022 "-" "-"
::ffff:125.64.94.144 - - [15/Jul/2021:12:21:04 +0000] "GET /favicon.ico HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4 240.111 Safari/537.36"
::ffff:125.64.94.144 - - [15/Jul/2021:12:21:04 +0000] "GET /robots.txt HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4 240.111 Safari/537.36"
::ffff:125.64.94.144 - - [15/Jul/2021:12:21:04 +0000] "GET /.well-known/security.txt HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4 240.111 Safari/537.36"
::ffff:119.118.14.82 - - [15/Jul/2021:13:44:54 +0000] "HEAD http://110.242.68.4/ HTTP/1.1" 404 1022 "-" "Mozilla/5.01717655 Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.20 (KHTML, like Gecko) Chrome/11.0.672.2 Safari/534.20"
