::1 - - [30/Jul/2021:16:00:02 +0000] "GET /birthday/remind HTTP/1.1" 200 208 "-" "curl/7.29.0"
::ffff:1.202.117.143 - - [31/Jul/2021:04:06:46 +0000] "HEAD http://110.242.68.4/ HTTP/1.1" 404 1022 "-" "Mozilla/4.01707650 Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; EmbeddedWB 14.52 from: http://www.bsalsa.com/ EmbeddedWB 14.52; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)"
::ffff:47.100.48.156 - - [31/Jul/2021:04:35:08 +0000] "HEAD /auth.7z HTTP/1.1" 404 1022 "http://www.baidu.com" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:185.53.90.19 - - [31/Jul/2021:05:10:15 +0000] "GET / HTTP/1.1" 404 1022 "-" "-"
::ffff:47.100.48.156 - - [31/Jul/2021:06:25:01 +0000] "HEAD /auth.bak HTTP/1.1" 404 1022 "http://www.baidu.com" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.2.15 Version/10.10"
::ffff:47.100.48.156 - - [31/Jul/2021:08:15:00 +0000] "HEAD /auth.sql HTTP/1.1" 404 1022 "http://www.baidu.com" "Opera/9.80 (Windows NT 6.1; Win64; x64; U; en) Presto/2.2.15 Version/10.10"
::ffff:123.160.175.150 - - [31/Jul/2021:09:00:35 +0000] "HEAD http://110.242.68.4/ HTTP/1.1" 404 1022 "-" "Mozilla/5.01717655 Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.20 (KHTML, like Gecko) Chrome/11.0.672.2 Safari/534.20"
::ffff:47.100.48.156 - - [31/Jul/2021:10:04:48 +0000] "HEAD /website.zip HTTP/1.1" 404 1022 "http://www.baidu.com" "Mozilla/5.0 (Windows NT 10.0; rv:40.0) Gecko/20100101 Firefox/40.0"
::ffff:47.100.48.156 - - [31/Jul/2021:11:54:56 +0000] "HEAD /website.rar HTTP/1.1" 404 1022 "http://www.baidu.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:36.5.158.127 - - [31/Jul/2021:12:00:22 +0000] "HEAD http://110.242.68.4/ HTTP/1.1" 404 1022 "-" "Mozilla/5.01732016 Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:55.0) Gecko/20100101 Firefox/55.0"
::ffff:47.100.48.156 - - [31/Jul/2021:13:44:29 +0000] "HEAD /website.tar.gz HTTP/1.1" 404 1022 "http://www.baidu.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10; rv:54.0) Gecko/20100101 Firefox/54.0"
::ffff:47.100.48.156 - - [31/Jul/2021:15:34:24 +0000] "HEAD /website.tgz HTTP/1.1" 404 1022 "http://www.baidu.com" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.5.24 Version/10.54"
