::1 - - [13/Aug/2021:16:00:01 +0000] "GET /birthday/remind HTTP/1.1" 200 208 "-" "curl/7.29.0"
::ffff:107.189.31.22 - - [13/Aug/2021:16:01:05 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:45.61.188.145 - - [13/Aug/2021:16:04:47 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:107.189.13.2 - - [13/Aug/2021:16:13:28 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:199.195.252.235 - - [13/Aug/2021:16:14:30 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:107.189.1.144 - - [13/Aug/2021:16:37:04 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:3.112.251.9 - - [13/Aug/2021:16:53:23 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:209.141.36.159 - - [13/Aug/2021:17:10:56 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:107.189.31.22 - - [13/Aug/2021:17:26:17 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:45.61.188.145 - - [13/Aug/2021:17:29:47 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:107.189.13.2 - - [13/Aug/2021:17:39:22 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:20.38.168.90 - - [13/Aug/2021:19:04:42 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:20.150.209.191 - - [13/Aug/2021:20:04:17 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:125.64.94.144 - - [13/Aug/2021:21:40:15 +0000] "GET / HTTP/1.0" 404 1022 "-" "-"
::ffff:125.64.94.144 - - [13/Aug/2021:21:40:15 +0000] "GET /favicon.ico HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4 240.111 Safari/537.36"
::ffff:125.64.94.144 - - [13/Aug/2021:21:40:15 +0000] "GET /robots.txt HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4 240.111 Safari/537.36"
::ffff:125.64.94.144 - - [13/Aug/2021:21:40:16 +0000] "GET /.well-known/security.txt HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4 240.111 Safari/537.36"
::ffff:20.38.168.90 - - [14/Aug/2021:03:35:17 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:20.150.209.191 - - [14/Aug/2021:04:25:29 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:185.222.59.8 - - [14/Aug/2021:04:53:26 +0000] "GET / HTTP/1.1" 404 1022 "-" "-"
::ffff:107.189.14.177 - - [14/Aug/2021:05:01:32 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:18.140.72.94 - - [14/Aug/2021:05:13:34 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:74.120.14.115 - - [14/Aug/2021:05:14:21 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:18.140.72.94 - - [14/Aug/2021:05:59:25 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:18.140.72.94 - - [14/Aug/2021:08:41:24 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:198.98.51.101 - - [14/Aug/2021:09:02:12 +0000] "GET http://example.com/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:18.140.72.94 - - [14/Aug/2021:09:26:49 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:185.222.59.8 - - [14/Aug/2021:09:31:12 +0000] "GET / HTTP/1.1" 404 1022 "-" "-"
::ffff:18.140.72.94 - - [14/Aug/2021:12:43:12 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:18.140.72.94 - - [14/Aug/2021:13:06:41 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:107.189.10.170 - - [14/Aug/2021:13:42:59 +0000] "GET http://106.52.197.39:8888/ HTTP/1.1" 404 1022 "-" "-"
::ffff:45.137.20.14 - - [14/Aug/2021:14:43:58 +0000] "GET http://example.com/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:161.117.225.168 - - [14/Aug/2021:15:57:53 +0000] "GET http://passport.baidu.com/ HTTP/1.1" 404 1022 "-" "-"
