::1 - - [27/Jun/2021:16:00:01 +0000] "GET /birthday/remind HTTP/1.1" 200 208 "-" "curl/7.29.0"
::ffff:209.159.154.178 - - [27/Jun/2021:16:38:33 +0000] "GET http://icanhazip.com:80/ HTTP/1.1" 404 1022 "-" "-"
::ffff:47.241.253.80 - - [27/Jun/2021:18:33:08 +0000] "GET http://passport.baidu.com/ HTTP/1.1" 404 1022 "-" "-"
::ffff:121.89.195.113 - - [27/Jun/2021:19:49:49 +0000] "GET / HTTP/1.0" 404 1022 "-" "-"
::ffff:121.89.195.113 - - [27/Jun/2021:19:49:49 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
::ffff:118.126.124.141 - - [28/Jun/2021:01:34:59 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
::ffff:47.241.253.80 - - [28/Jun/2021:05:29:21 +0000] "GET http://passport.baidu.com/ HTTP/1.1" 404 1022 "-" "-"
::ffff:71.6.232.5 - - [28/Jun/2021:10:57:33 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"
::ffff:128.199.163.195 - - [28/Jun/2021:13:55:31 +0000] "GET / HTTP/1.0" 404 1022 "-" "-"
