::1 - - [18/Sep/2021:16:00:01 +0000] "GET /birthday/remind HTTP/1.1" 200 208 "-" "curl/7.29.0"
::ffff:123.160.221.19 - - [18/Sep/2021:16:03:01 +0000] "GET / HTTP/1.1" 404 1022 "-" "curl/7.64.1"
::ffff:36.99.136.128 - - [18/Sep/2021:16:39:35 +0000] "GET / HTTP/1.1" 404 1022 "-" "Chrome/54.0 (Windows NT 10.0)"
::ffff:36.99.136.128 - - [18/Sep/2021:16:39:36 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
::ffff:36.99.136.129 - - [18/Sep/2021:16:39:40 +0000] "GET /favicon.ico HTTP/1.1" 404 1022 "-" "Chrome/54.0 (Windows NT 10.0)"
::ffff:36.99.136.128 - - [18/Sep/2021:16:39:41 +0000] "GET / HTTP/1.1" 404 1022 "-" "Chrome/54.0 (Windows NT 10.0)"
::ffff:36.99.136.129 - - [18/Sep/2021:16:39:43 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
::ffff:36.99.136.129 - - [18/Sep/2021:16:39:45 +0000] "GET /favicon.ico HTTP/1.1" 404 1022 "-" "Chrome/54.0 (Windows NT 10.0)"
::ffff:167.248.133.43 - - [18/Sep/2021:19:42:52 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:134.175.226.6 - - [18/Sep/2021:20:54:11 +0000] "GET / HTTP/1.1" 404 1022 "-" "mozilla/5.0 (iphone; cpu iphone os 13_5_1 like mac os x) applewebkit/605.1.15 (khtml, like gecko) mobile/15e148 micromessenger/7.0.15(0x17000f2b) nettype/4g language/zh_cn miniprogram"
