::1 - - [22/Jun/2021:16:00:01 +0000] "GET /birthday/remind HTTP/1.1" 200 208 "-" "curl/7.29.0"
::ffff:123.160.221.51 - - [22/Jun/2021:21:37:51 +0000] "HEAD / HTTP/1.1" 404 1022 "-" "Chrome/54.0 (Windows NT 10.0)"
::ffff:123.160.221.51 - - [22/Jun/2021:21:37:51 +0000] "GET / HTTP/1.1" 404 1022 "-" "Chrome/54.0 (Windows NT 10.0)"
::ffff:123.160.221.51 - - [22/Jun/2021:21:37:51 +0000] "GET /favicon.ico HTTP/1.1" 404 1022 "-" "Chrome/54.0 (Windows NT 10.0)"
::ffff:123.160.221.51 - - [22/Jun/2021:21:37:51 +0000] "HEAD / HTTP/1.1" 404 1022 "-" "Chrome/54.0 (Windows NT 10.0)"
::ffff:47.241.253.80 - - [23/Jun/2021:05:59:51 +0000] "GET http://passport.baidu.com/ HTTP/1.1" 404 1022 "-" "-"
::ffff:185.142.236.34 - - [23/Jun/2021:10:36:21 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:185.142.236.34 - - [23/Jun/2021:10:36:23 +0000] "GET /favicon.ico HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:80.0) Gecko/20100101 Firefox/80.0"
::ffff:35.195.57.216 - - [23/Jun/2021:10:36:27 +0000] "GET / HTTP/1.1" 404 1022 "-" "python-requests/2.25.1"
::ffff:170.130.187.18 - - [23/Jun/2021:12:55:10 +0000] "GET / HTTP/1.1" 404 1022 "-" "https://gdnplus.com:Gather Analyze Provide."
::ffff:47.241.253.80 - - [23/Jun/2021:13:08:48 +0000] "GET http://passport.baidu.com/ HTTP/1.1" 404 1022 "-" "-"
