::1 - - [28/Aug/2021:16:00:01 +0000] "GET /birthday/remind HTTP/1.1" 200 208 "-" "curl/7.29.0"
::ffff:185.53.90.24 - - [28/Aug/2021:16:40:21 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:185.53.90.24 - - [28/Aug/2021:16:46:30 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:185.53.90.24 - - [28/Aug/2021:17:16:46 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:92.118.161.29 - - [28/Aug/2021:17:49:33 +0000] "GET / HTTP/1.0" 404 1022 "-" "NetSystemsResearch studies the availability of various services across the internet. Our website is netsystemsresearch.com"
::ffff:45.148.10.241 - - [28/Aug/2021:19:04:10 +0000] "GET http://example.com/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:185.53.90.24 - - [28/Aug/2021:19:45:34 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:74.120.14.113 - - [28/Aug/2021:22:49:16 +0000] "GET / HTTP/1.1" 404 1022 "-" "-"
::ffff:74.120.14.113 - - [28/Aug/2021:22:49:17 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:159.65.126.232 - - [29/Aug/2021:03:04:37 +0000] "GET / HTTP/1.0" 404 1022 "-" "-"
::ffff:185.53.90.24 - - [29/Aug/2021:03:19:52 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:185.53.90.24 - - [29/Aug/2021:06:01:17 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:185.53.90.24 - - [29/Aug/2021:06:20:27 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:185.53.90.24 - - [29/Aug/2021:13:41:17 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:185.53.90.24 - - [29/Aug/2021:14:00:28 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:185.53.90.24 - - [29/Aug/2021:15:38:37 +0000] "GET http://icanhazip.com/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:185.53.90.24 - - [29/Aug/2021:15:40:01 +0000] "GET http://icanhazip.com/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
