::1 - - [13/Sep/2021:16:00:01 +0000] "GET /birthday/remind HTTP/1.1" 200 208 "-" "curl/7.29.0"
::ffff:167.71.10.248 - - [13/Sep/2021:17:24:18 +0000] "GET / HTTP/1.0" 404 1022 "-" "-"
::ffff:92.118.161.37 - - [13/Sep/2021:19:25:12 +0000] "GET / HTTP/1.0" 404 1022 "-" "NetSystemsResearch studies the availability of various services across the internet. Our website is netsystemsresearch.com"
::ffff:161.35.188.242 - - [13/Sep/2021:20:26:14 +0000] "GET / HTTP/1.1" - - "-" "-"
::ffff:161.35.188.242 - - [13/Sep/2021:20:26:15 +0000] "GET / HTTP/1.1" 404 1022 "-" "l9tcpid/v1.1.0"
::ffff:80.82.77.139 - - [14/Sep/2021:10:06:13 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:80.82.77.139 - - [14/Sep/2021:10:06:14 +0000] "GET /favicon.ico HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:80.0) Gecko/20100101 Firefox/80.0"
::ffff:34.79.68.246 - - [14/Sep/2021:10:06:20 +0000] "GET / HTTP/1.1" 404 1022 "-" "python-requests/2.26.0"
::ffff:92.118.161.29 - - [14/Sep/2021:14:21:52 +0000] "GET / HTTP/1.1" 404 1022 "-" "NetSystemsResearch studies the availability of various services across the internet. Our website is netsystemsresearch.com"
