::1 - - [11/Sep/2021:16:00:01 +0000] "GET /birthday/remind HTTP/1.1" 200 208 "-" "curl/7.29.0"
::ffff:167.99.133.28 - - [11/Sep/2021:16:36:39 +0000] "GET / HTTP/1.1" - - "-" "-"
::ffff:167.99.133.28 - - [11/Sep/2021:16:36:40 +0000] "GET / HTTP/1.1" 404 1022 "-" "l9tcpid/v1.1.0"
::ffff:167.99.133.28 - - [11/Sep/2021:16:36:42 +0000] "GET /.DS_Store HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:41.34.66.99 - - [12/Sep/2021:00:42:32 +0000] "GET / HTTP/1.0" 404 1022 "-" "-"
::ffff:69.128.246.69 - - [12/Sep/2021:00:43:14 +0000] "GET / HTTP/1.1" 404 1022 "-" "curl/7.54.0"
::ffff:69.128.246.69 - - [12/Sep/2021:00:43:14 +0000] "GET /.git/HEAD HTTP/1.1" 404 1022 "-" "curl/7.54.0"
::ffff:69.128.246.69 - - [12/Sep/2021:00:43:14 +0000] "GET /QiAa HTTP/1.1" 404 1022 "-" "curl/7.54.0"
::ffff:45.148.10.241 - - [12/Sep/2021:13:54:30 +0000] "GET http://example.com/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
