::1 - - [29/Aug/2021:16:00:01 +0000] "GET /birthday/remind HTTP/1.1" 200 208 "-" "curl/7.29.0"
::ffff:185.53.90.24 - - [29/Aug/2021:16:04:02 +0000] "GET http://icanhazip.com/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:185.53.90.24 - - [29/Aug/2021:18:04:32 +0000] "GET http://icanhazip.com/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:185.53.90.24 - - [29/Aug/2021:18:23:34 +0000] "GET http://icanhazip.com/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:185.53.90.24 - - [29/Aug/2021:19:53:16 +0000] "GET http://icanhazip.com/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:106.75.22.49 - - [29/Aug/2021:19:54:21 +0000] "GET / HTTP/1.0" 404 1022 "-" "-"
::ffff:185.53.90.24 - - [29/Aug/2021:20:12:23 +0000] "GET http://icanhazip.com/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:185.53.90.24 - - [30/Aug/2021:03:14:00 +0000] "GET http://icanhazip.com/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:185.222.59.8 - - [30/Aug/2021:03:33:22 +0000] "GET / HTTP/1.1" 404 1022 "-" "-"
::ffff:185.53.90.24 - - [30/Aug/2021:03:41:52 +0000] "GET http://icanhazip.com/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:71.6.232.5 - - [30/Aug/2021:08:05:07 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"
::ffff:185.53.90.24 - - [30/Aug/2021:08:26:25 +0000] "GET http://icanhazip.com/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:167.248.133.57 - - [30/Aug/2021:12:33:41 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:185.53.90.24 - - [30/Aug/2021:15:27:12 +0000] "GET http://icanhazip.com/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
