::1 - - [03/Aug/2021:16:00:01 +0000] "GET /birthday/remind HTTP/1.1" 200 208 "-" "curl/7.29.0"
::ffff:161.117.225.168 - - [04/Aug/2021:03:16:33 +0000] "GET http://passport.baidu.com/ HTTP/1.1" 404 1022 "-" "-"
::ffff:54.157.106.24 - - [04/Aug/2021:04:04:53 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:104.149.128.222 - - [04/Aug/2021:04:22:40 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:47.100.48.156 - - [04/Aug/2021:04:27:29 +0000] "HEAD /2016.tar HTTP/1.1" 404 1022 "http://www.baidu.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
::ffff:89.163.140.58 - - [04/Aug/2021:04:42:02 +0000] "GET http://example.com/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:104.149.162.74 - - [04/Aug/2021:05:06:16 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:185.53.90.19 - - [04/Aug/2021:06:05:11 +0000] "GET / HTTP/1.1" 404 1022 "-" "-"
::ffff:47.100.48.156 - - [04/Aug/2021:06:17:51 +0000] "HEAD /2016.jar HTTP/1.1" 404 1022 "http://www.baidu.com" "Opera/9.80 (Windows NT 5.1; U; en) Presto/2.7.62 Version/11.00"
::ffff:47.100.48.156 - - [04/Aug/2021:08:08:12 +0000] "HEAD /2016.war HTTP/1.1" 404 1022 "http://www.baidu.com" "Mozilla/5.0 (Windows NT 10.0; rv:48.0) Gecko/20100101 Firefox/48.0"
::ffff:121.237.51.204 - - [04/Aug/2021:08:41:17 +0000] "POST /etc/passwd HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:2.0b11pre) Gecko/20110131 Firefox/4.0b11pre"
::ffff:118.126.124.141 - - [04/Aug/2021:08:54:53 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
::ffff:47.100.48.156 - - [04/Aug/2021:09:58:39 +0000] "HEAD /2016.7z HTTP/1.1" 404 1022 "http://www.baidu.com" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.7.62 Version/11.00"
::ffff:47.100.48.156 - - [04/Aug/2021:11:48:49 +0000] "HEAD /2016.bak HTTP/1.1" 404 1022 "http://www.baidu.com" "Opera/9.80 (Windows NT 6.1; WOW64; U; en) Presto/2.2.15 Version/10.00"
::ffff:47.100.48.156 - - [04/Aug/2021:13:38:57 +0000] "HEAD /2016.sql HTTP/1.1" 404 1022 "http://www.baidu.com" "Mozilla/5.0 (Windows NT 10.0; rv:52.0) Gecko/20100101 Firefox/52.0"
::ffff:47.100.48.156 - - [04/Aug/2021:15:29:06 +0000] "HEAD /com.zip HTTP/1.1" 404 1022 "http://www.baidu.com" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36"
