::1 - - [03/Aug/2021:16:00:01 +0000] "GET /birthday/remind HTTP/1.1" 200 208 "-" "curl/7.29.0"
::ffff:47.100.48.156 - - [03/Aug/2021:17:19:54 +0000] "HEAD /sql.sql HTTP/1.1" 404 1022 "http://www.baidu.com" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
::ffff:42.240.133.87 - - [03/Aug/2021:18:21:50 +0000] "GET / HTTP/1.0" 404 1022 "-" "-"
::ffff:106.75.172.167 - - [03/Aug/2021:18:21:51 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
::ffff:161.117.225.168 - - [03/Aug/2021:18:41:09 +0000] "GET http://passport.baidu.com/ HTTP/1.1" 404 1022 "-" "-"
::ffff:47.100.48.156 - - [03/Aug/2021:19:11:27 +0000] "HEAD /2016.zip HTTP/1.1" 404 1022 "http://www.baidu.com" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0"
::ffff:89.163.140.58 - - [03/Aug/2021:19:47:51 +0000] "GET http://example.com/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:47.100.48.156 - - [03/Aug/2021:21:03:17 +0000] "HEAD /2016.rar HTTP/1.1" 404 1022 "http://www.baidu.com" "Opera/9.80 (Windows NT 10.0; U; en) Presto/2.2.15 Version/10.10"
::ffff:92.118.161.21 - - [03/Aug/2021:21:15:22 +0000] "GET / HTTP/1.1" 404 1022 "-" "NetSystemsResearch studies the availability of various services across the internet. Our website is netsystemsresearch.com"
::ffff:47.100.48.156 - - [03/Aug/2021:22:55:06 +0000] "HEAD /2016.tar.gz HTTP/1.1" 404 1022 "http://www.baidu.com" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
::ffff:47.100.48.156 - - [04/Aug/2021:00:46:13 +0000] "HEAD /2016.tgz HTTP/1.1" 404 1022 "http://www.baidu.com" "Opera/9.80 (Windows NT 10.0; U; en) Presto/2.5.24 Version/10.54"
::ffff:47.100.48.156 - - [04/Aug/2021:02:36:49 +0000] "HEAD /2016.tar.bz2 HTTP/1.1" 404 1022 "http://www.baidu.com" "Mozilla/5.0 (Windows NT 5.1; rv:48.0) Gecko/20100101 Firefox/48.0"
::ffff:161.117.225.168 - - [04/Aug/2021:03:16:20 +0000] "GET http://passport.baidu.com/ HTTP/1.1" 404 1022 "-" "-"
